context	tgt_term_gold	tgt_term_hyponym	tgt_term_hypernym	tgt_term_co-hyponym
Zwei oder mehrere, in der Regel aneinander angrenzende Gemeinden, die derselben Provinz angehören, können einen Gemeindenverbund zur gemeinsamen Ausübung einer Reihe von Funktionen oder zur Erbringung von ihnen zugewiesenen bzw. delegierten Diensten gründen.	Gemeindenverbund,Gemeindenzusammenschluss		Form der zwischengemeindlichen Zusammenarbeit	Gemeindenvereinigung
Das Landesgesetz regelt die Zusammensetzung und die Zuständigkeiten der Organe und setzt die grundlegenden Bestimmungen für die Organisation und die Tätigkeit der Gemeindenvereinigung  fest.	Gemeindenvereinigung		Form der zwischengemeindlichen Zusammenarbeit	Gemeindenverbund,Gemeindenzusammenschluss
Der Gemeinderat  beschließt  die Einrichtung und Änderung der Formen der zwischengemeindlichen Zusammenarbeit .	Form der zwischengemeindlichen Zusammenarbeit	Gemeindenverbund,Gemeindenvereinigung,Gemeindenzusammenschluss		
Der Gemeinderat kann für einzelne Ortschaften einen Ortsvorsteher und einen Ortsausschuss einrichten, wenn dies im Interesse der besseren Anbindung entlegener Siedlungen an die Gemeindeverwaltung zweckmäßig ist.	Ortschaft		Gemeinde,Ortsgemeinde	
Für die Großstädte mit Sonderstatus werden die  Zuständigkeiten des Ausschusses und des Bürgermeisters vom Großstadtausschuss bzw. vom Großstadtbürgermeister ausgeübt.	Großstadtausschuss		Großstadt mit Sonderstatus,Großstadt mit besonderem Status	
Für die Großstädte mit Sonderstatus werden die  Zuständigkeiten des Ausschusses und des Bürgermeisters vom Großstadtausschuss bzw. vom Großstadtbürgermeister ausgeübt.	Großstadtbürgermeister		Großstadt mit Sonderstatus,Großstadt mit besonderem Status	Großstadtrat,Konferenz aller Bürgermeister
Frauen dürfen nicht für Untertagearbeiten in Bergwerken beschäftigt werden, ausser für: a. wissenschaftliche Tätigkeiten; b. Dienstleistungen der ersten Hilfe und der medizinischen Erstversorgung; c. kurzfristige Tätigkeiten im Rahmen einer geregelten Berufsausbildung; oder d. kurzfristige Tätigkeiten nicht handwerklicher Art.	Bergwerk		Gegenstand des Verwaltungsvermögens	
Die Bauleistungen, die der vorherrschenden Kategorie oder den Kategorien der getrennt ausführbaren Bauleistungen zuzuordnen sind, können auch von Unternehmern übernommen werden, die sich zu einer horizontalen Bietergemeinschaft zusammengeschlossen haben.	horizontal gegliederte Bietergemeinschaft,horizontale Bietergemeinschaft			vertikal gegliederte Bietergemeinschaft,vertikale Bietergemeinschaft
Wird  eine dem Betroffenen zuvor im Gnadenwege eingeräumte Rechtsstellung verschlechtert, z. B. ein bereits ausgesprochener Gnadenerweis widerrufen, liegt ein rechtlich gebundener Akt vor.	rechtlich gebundener Akt	gebundener Verwaltungsakt,rechtlich gebundener Verwaltungsakt		
Die Legalisation bestätigt die Echtheit der Unterschrift, die Eigenschaft, in welcher der Unterzeichner der Urkunde gehandelt hat, und gegebenenfalls die Echtheit des Siegels, mit dem die Urkunde versehen ist (Legalisation im engeren Sinn).	Legalisation		Zertifizierung	Beglaubigung der Unterschrift,Unterschriftsbeglaubigung
Die Eintragung in die Verzeichnisse der Präfektur der Provinz, in der das Unternehmen seinen Sitz hat, erfüllt die Bedingungen der Antimafia-Information zur Ausübung der jeweiligen Tätigkeit.	Antimafia-Information		Antimafia-Bescheinigung,Antimafia-Dokumentation	Antimafia-Mitteilung
Die gewerbsmäßige Beförderung von Gütern mit Kraftfahrzeugen darf nur auf Grund einer Konzession ausgeübt werden .	gewerbsmäßige Beförderung von Gütern mit Kraftfahrzeugen		Beförderung von Sachen,Güterbeförderung	
Für Diensteanbieter, die berufsrechtlichen Vorschriften unterliegen, ist eine kommerzielle Kommunikation, die Bestandteil eines von ihnen bereitgestellten Dienstes der Informationsgesellschaft ist oder einen solchen darstellt, zulässig.	kommerzielle Kommunikation	audiovisuelle kommerzielle Kommunikation		
Der Landeshauptmann  widerruft die eigene Dringlichkeitsmaßnahme bei Gefahr im Verzug Nr. 5/2020 vom 05.03.2020 .	Dringlichkeitsmaßnahme bei Gefahr im Verzug		Notakt	dringende Maßnahme
Wer sich um eine Ausbildungsstelle für Sprengelärzte bewirbt, richtet ein Gesuch auf Stempelpapier an die Sanitätseinheiten und legt folgende Unterlagen bei: - Geburtsschein .	Geburtsschein		standesamtliche Bescheinigung	Ehebescheinigung,Todesbescheinigung,Totenschein,Trauschein
Die Vorschriften über die Abgabe des Verfahrens gelten sinngemäß, wenn Mahnverfahren und streitiges Verfahren bei demselben Gericht durchgeführt werden.	streitiges Verfahren			nichtstreitiges Verfahren
Der Verwaltungsgehilfe/die Verwaltungsgehilfin führt gemäß den Richtlinien und Anweisungen des/der Vorgesetzten alle Arbeiten der Schriftgutverwaltung durch.	Verwaltungsgehilfe			Mitarbeiter für Verwaltung,Verwaltungsassistent,Verwaltungsinspektor,Verwaltungssachbearbeiter
Die Beglaubigungsklausel hat  die Angabe zu enthalten, 1. ob die vorgewiesene Urkunde eine Papierurkunde oder elektronische Urkunde, eine Urschrift, Ausfertigung, Abschrift (Kopie) oder ein Ausdruck ist, .	digitales Dokument,elektronische Urkunde,elektronisches Dokument	digitales Duplikat,informatisches Duplikat		
Bei den in dieser Verordnung vorgesehenen Verfahren erfolgt die Bewertung der Nachweise ausschließlich auf der Grundlage von Erklärungen zum Ersatz beeideter Bezeugungsurkunden, Eigenbescheinigungen oder anderen Unterlagen der Bewerber und Bewerberinnen.	Eigenbescheinigung,Erklärung zum Ersatz einer Bescheinigung,Selbstbescheinigung,Selbsterklärung,eigenverantwortete Bescheinigung,eigenverantwortliche Erklärung		Ersatzerklärung	Erklärung zum Ersatz einer beeideten Bezeugungsurkunde,Ersatzerklärung des Notorietätsaktes,Ersatzerklärung einer beeideten Bezeugungsurkunde
Die Besamungstechniker müssen dem Gesuch eine eigenverantwortete Bescheinigung darüber beilegen, dass sie im Besitz des Eignungsnachweises und in Kenntnis der nationalen Bestimmungen über die künstliche Besamung sind, .	Eigenbescheinigung,Erklärung zum Ersatz einer Bescheinigung,Selbstbescheinigung,Selbsterklärung,eigenverantwortete Bescheinigung,eigenverantwortliche Erklärung		Ersatzerklärung	Erklärung zum Ersatz einer beeideten Bezeugungsurkunde,Ersatzerklärung des Notorietätsaktes,Ersatzerklärung einer beeideten Bezeugungsurkunde
Für die Zuerkennung des Differenzbetrages zur Erreichung des Betrags des Mutterschaftsgeldes  muss die Antragstellerin dem Antrag eine Erklärung der Anstalt, welche die Mutterschaftszulage gezahlt hat, über die Höhe des gewährten Betrages oder eine entsprechende Selbstbescheinigung beilegen.	Eigenbescheinigung,Erklärung zum Ersatz einer Bescheinigung,Selbstbescheinigung,Selbsterklärung,eigenverantwortete Bescheinigung,eigenverantwortliche Erklärung		Ersatzerklärung	Erklärung zum Ersatz einer beeideten Bezeugungsurkunde,Ersatzerklärung des Notorietätsaktes,Ersatzerklärung einer beeideten Bezeugungsurkunde
Zugleich hat sie dem Beschwerdeführer eine Missbrauchsgebühr von 500 Euro auferlegt, weil die von ihm vorgebrachten Rügen ohne jede verfassungsrechtliche Substanz sind und die Anrufung des Bundesverfassungsgerichts deshalb für den Beschwerdeführer erkennbar offensichtlich aussichtslos war.	Beschwerdeführer			Revisionsbeklagter
In den Sachbereichen der ausschließlichen Gerichtsbarkeit  erkennt das Verwaltungsgericht, auch zum Zwecke der Festsetzung eines Schadenersatzes, zusätzlich über Rechtsstreitigkeiten, die subjektive Rechte zum Gegenstand haben.	ausschließliche Gerichtsbarkeit		Verwaltungsgerichtsbarkeit	Gerichtsbarkeit in der Sache selbst,allgemeine Gerichtsbarkeit über Fragen der Rechtmäßigkeit
Die Verwaltungen können die verwaltungsgerichtliche Rechnungslegung der Rechnungsführer über Gebarungen derselben Art in eine oder mehrere zusammenfassende Rechnungen bündeln.	verwaltungsgerichtliche Rechnungslegung	verwaltungsgerichtliche Hauptrechnungslegung,verwaltungsgerichtliche Nebenrechnungslegung		
Wortinterpretation und logische Auslegung führen im vorliegenden Fall zum eindeutigen Ergebnis, dass die Rundungsregel auf die Ermittlung der tatsächlichen Dienstzeit von mindestens 20 Jahren keine Anwendung finde.	logische Auslegung,logische Interpretation	ausdehnende Auslegung,ausdehnende Interpretation,einschränkende Auslegung,einschränkende Interpretation,erweiternde Auslegung,erweiternde Interpretation,extensive Auslegung,extensive Interpretation,restriktive Auslegung,restriktive Interpretation		
In den  vorgesehenen Fällen kann als Nebenstrafe die Veröffentlichung des Zahlungsbefehls, vollständig oder auszugsweise, in einer oder mehreren Tageszeitungen, die in der jeweiligen Verfügung angegeben werden, angeordnet werden.	Nebenstrafe,zusätzliche Verwaltungsstrafe		Verwaltungsstrafe	verwaltungsrechtliche Geldbuße
In den Fällen, in denen laut der Straßenverkehrsordnung die Aussetzung des Fahrzeugscheins vorgesehen ist, wird für denselben Zeitraum immer die verwaltungsbehördliche Stilllegung des Fahrzeugs verfügt.	Aussetzung des Fahrzeugscheins		Nebenstrafe,zusätzliche Verwaltungsstrafe	
Geeignet zum Führen von Kraftfahrzeugen ist, wer die notwendigen körperlichen und geistigen Anforderungen erfüllt und nicht erheblich oder nicht wiederholt gegen verkehrsrechtliche Vorschriften oder gegen Strafgesetze verstoßen hat.	körperliche und geistige Anforderungen	Anforderungen an das Sehvermögen		
Das Amt für zivile motorisierung stellt dem Führerscheinanwärter eine Erlaubnis aus (Fahrübungsschein), mit welcher er mit den Fahrzeugen derselben Kategorie, für welche er den Führerschein erwerben möchte, das Fahren üben darf.	Fahrübungsschein,provisorische Fahrerlaubnis		Fahrübung,Übungsfahrt	
Wer beantragt, die Prüfung zur Erlangung des Führerscheins oder zur Ausdehnung der Gültigkeit des Führerscheins auf andere Fahrzeugklassen ablegen zu dürfen, und die vorgeschriebene körperliche und geistige Tauglichkeit nachweist, erhält eine provisorische Fahrerlaubnis; .	Fahrübungsschein,provisorische Fahrerlaubnis		Fahrübung,Übungsfahrt	
Der Lernfahrausweis wird nach bestandener Prüfung der Basistheorie erteilt. Ist keine solche Prüfung abzulegen, wird der Lernfahrausweis erteilt, wenn die Voraussetzungen zu dessen Erwerb erfüllt sind.	Lernfahrausweis		Fahrstunde,Lernfahrt,praktischer Fahrunterricht,praktischer Unterricht,Übungsfahrt	
Die Verwaltungsbehörde kann auf eine Fahrerlaubnisprüfung verzichten, wenn keine Tatsachen vorliegen, die die Annahme rechtfertigen, daß der Bewerber die  erforderlichen Kenntnisse und Fähigkeiten nicht mehr besitzt.	Fahrerlaubnisprüfung	Fahrprüfung,Theorieprüfung,praktische Prüfung,theoretische Prüfung		
Das Verbot der Kinderarbeit ergibt sich aus der Vorschrift des § 5 JArbSchG und wird in der Rechtswirklichkeit auf rein arbeitsrechtliche Dienstverhältnisse mehr oder weniger auch so angewandt.	Kinderarbeit		Arbeit	
Eine Lebensbescheinigung kann für Rentenzwecke, insbesondere bei einem Träger im Ausland erforderlich sein. Eine steuerliche Lebensbescheinigung benötigen Sie für die Eintragung von Kindern in Ihrer Lohnsteuerkarte, wenn diese nicht in Ihrer Wohnung gemeldet sind.	Lebensbescheinigung		meldeamtliche Bescheinigung	
Bei Rot dürfen die Fahrzeuge nicht über die Haltelinie hinausfahren; ist eine solche Linie nicht vorhanden, dürfen die Fahrzeuge weder den Kreuzungsbereich noch den Fußgängerüberweg besetzen noch über das Signal hinausfahren, damit sie den Anweisungen der Lichtzeichen folgen können.	Fußgängerübergang,Fußgängerüberweg	ampelgeregelter Fußgängerüberweg	Fahrbahn	
Der Fußgängerübergang ist ein Fahrbahnteil, auf welchem die Fahrzeuge den Fußgängern, die auf den eigens vorgesehenen Streifen überqueren, den Vortritt gewähren müssen.	Fußgängerübergang,Fußgängerüberweg	ampelgeregelter Fußgängerüberweg	Fahrbahn	
Zum Parken ist der rechte Seitenstreifen, dazu gehören auch entlang der Fahrbahn angelegte Parkstreifen, zu benutzen, wenn er dazu ausreichend befestigt ist, sonst ist an den rechten Fahrbahnrand heranzufahren.	Seitenstreifen		Straße	
Die Gültigkeitsdauer eines nationalen Führerscheins kann durch innerstaatliche Rechtsvorschriften begrenzt werden. Die Gültigkeit eines internationalen Führerscheins endet spätestens drei Jahre nach dem Ausstellungsdatum oder am Tag des Erlöschens der Gültigkeit des nationalen Führerscheins, falls dies früher der Fall ist.	internationaler Führerausweis,internationaler Führerschein		Führerausweis	
Es handle sich um eine Einbahn, in der auf Grund der Fahrbahnbeschaffenheit sowohl links als auch rechts paralleles Parken vorgesehen sei.	Einbahn		Fahrbahn	
Der Fahrer ist verpflichtet,  a) den Beschleunigungsstreifen zu verwenden, um auf den Fahrstreifen für den durchgehenden Verkehr einzufahren, und den auf diesem Fahrstreifen verkehrenden Fahrzeugen Vorfahrt zu geben .	Beschleunigungsspur,Beschleunigungsstreifen		gesonderter Fahrstreifen	Verzögerungsspur,Verzögerungsstreifen
Es ist verboten,  c) unbefugt auf Sonderfahrstreifen zu verkehren.	Sonderfahrstreifen		Fahrspur,Fahrstreifen	
Wird ein Radweg zum Bürgersteig hin durch Bordsteine abgetrennt, darf der Radfahrer  nicht auf ein gleich hohes Niveau zwischen den beiden Bereichen vertrauen.	Bürgersteig,Gehweg		Straße	
Fahrräder dürfen auf dem Trottoir abgestellt werden, sofern für die Fussgänger ein mindestens 1,50 m breiter Raum frei bleibt.	Trottoir		Strasse	
Auf Einbahnstrassen darf der Fahrzeugführer nicht rückwärtsfahren, ausser beim Parkieren, Ankuppeln von Anhängern und dergleichen.	Einbahnstrasse		Strasse	
Auf Straßen der Kategorien A), B), C und D) ist jede Art von Besetzung des Straßenkörpers durch Fahrzeuge, Buden, Zelte und Ähnliches, auch anlässlich von Messen und Märkten, verboten .	Straßenkörper	Fahrbahn,Zubehörstreifen	Straßengrund	
Bei der Ausstellung qualifizierter Zertifikate müssen die vom ZDA verwendeten Signaturerstellungsdaten in einer nach § 6 SigV geprüften Signaturerstellungseinheit erzeugt sein und dürfen außerhalb dieser nicht zur Verfügung stehen.	ZDA,Zertifizierungsdiensteanbieter	akkreditierter ZDA,akkreditierter Zertifizierungsdiensteanbieter		
Im Bereich der für Motorfahrzeuge oder Fahrräder offenen Strassen dürfen nur die vom Bundesrat vorgesehenen Signale und Markierungen verwendet und nur von den zuständigen Behörden oder mit deren Ermächtigung angebracht werden.	Strasse	Autobahn,Fahrbahn,Mittelstreifen,Normalspur,Pannenstreifen,Radweg,Trottoir,Verkehrsinsel,ampelgeregelte Kreuzung,gemeinsamer Rad- und Fussweg,höhengleiche Kreuzung	Fahrstreifen	
Für die Militärstraßen und Militärfahrzeuge gilt die Regelung, die im Kodex zur Militärordnung vorgesehen ist.	Militärstraße		Straße	
Auf Autobahnanschlussstellen überholt  im Vorsortierraum unzulässig rechts, wer nicht dem Verlauf der fahrstreifengegliederten Vorwegweiser folgt, sondern zum schnelleren Vorankommen nach dem Rechtsüberholen wieder nach links einschert.	Vorsortierraum		Fahrbahn	
Die Klassifizierung von Landesstraßen oder von Straßenabschnitten wird von der Landesregierung nach Einholen des Gutachtens des technischen Landesbeirates und der gebietsmäßig zuständigen Gemeinden verfügt.	Landesstraße,Provinzstraße		Freilandstraße	Gemeindestraße,Regionalstraße,Staatsstraße
In der Straßenverkehrsordnung werden die „Güterwege“ den Gemeindestraßen gleichgestellt.	Gemeindestraße		Freilandstraße	Landesstraße,Provinzstraße,Regionalstraße,Staatsstraße
Die Landesverwaltung muß das Verkehrsverbot durch Anbringung einer entsprechenden Tafel bekanntgeben; es müssen darauf das Fahrverbotszeichen und der Hinweis auf dieses Gesetz angebracht sein. Die vor Inkrafttreten dieses Gesetzes angebrachte Beschilderung bleibt unverändert.	Beschilderung,Straßenbeschilderung,Verkehrszeichen und -einrichtungen	Verkehrszeichen		
Angebaute städtische Hauptverkehrsstraßen sind in der Regel wesentliche Bestandteile gesamtstädtischer Straßennetze und dadurch mehr oder weniger stark mit Kraftfahrzeugverkehr belastet.	Hauptverkehrsstraße	Autobahn	Straße	
Auf Strassenverzweigungen hat das von rechts kommende Fahrzeug den Vortritt. Fahrzeuge auf gekennzeichneten Hauptstrassen haben den Vortritt, auch wenn sie von links kommen. Vorbehalten bleibt die Regelung durch Signale oder durch die Polizei.	Hauptstrasse	Autobahn	Strasse	
Mit Krankenfahrstühlen oder mit anderen  Rollstühlen darf dort, wo Fußgängerverkehr zulässig ist, gefahren werden, jedoch nur mit Schrittgeschwindigkeit.	Fußgängerverkehr		Straßenverkehr,Verkehr	Fahrzeugverkehr,Kraftfahrzeugverkehr
Geschlossene Fussgängerkolonnen müssen das Trottoir benützen; wenn der Fussgängerverkehr behindert würde, haben sie am rechten Fahrbahnrand zu gehen.	Fussgängerverkehr		Strassenverkehr,Verkehr	Fahrzeugverkehr,Motorfahrzeugverkehr
Der Verstoß gegen das Fahrverbot auf Sonderfahrstreifen für öffentliche Verkehrsmittel, in Fußgängerzonen oder in verkehrsberuhigten Zonen wird mit einer verwaltungsrechtlichen Geldbuße zwischen 76 und 306 Euro geahndet.	Fahrverbot		Verkehrsverbot	
Sofern nichts anderes angezeigt wird , muss das Fahrzeug beim Halten und Parken so nah wie möglich am rechten Fahrbahnrand abgestellt werden, und zwar parallel zu diesem und in Fahrtrichtung.	Parken	Notparken		
Der Bundesminister für Landesverteidigung kann die Berechtigung zum Lenken von Heeresfahrzeugen erteilen und hierüber einen Heeresführerschein oder einen Heeresmopedausweis ausstellen, die als solche zu bezeichnen sind. Für die Erlangung eines Heeresführerscheines oder eines Heeresmopedausweises sind keine Stempelgebühren zu entrichten.	Heeresführerschein		Führerschein	
Anwärter auf den Führerschein der Klasse B müssen an einer Fahrschule mit einem ausgebildeten und dazu berechtigten Praxisfahrlehrer Fahrübungen auf der Autobahn oder auf Freilandstraßen sowie bei Dunkelheit machen.	Freilandstraße	erstrangige Freilandstraße,zweitrangige Freilandstraße	Straße	
Siedlungsabfälle, Abfälle aus dem öffentlichen Strassenunterhalt und der öffentlichen Abwasserreinigung sowie Abfälle, deren Inhaber nicht ermittelt werden kann oder zahlungsunfähig ist, werden von den Kantonen entsorgt.	Siedlungsabfall	biogener Abfall,biologisch abbaubarer Abfall	Abfall,Verweigerung	
Der praktische Unterricht wird von einem Fahrlehrer oder einer Fahrlehrerin instruiert, geübt und trainiert. Daneben bilden private Lernfahrten Gelegenheit, den in den Fahrstunden erlernten Stoff zu festigen, zu üben und zu vertiefen.	Fahrstunde,Lernfahrt,praktischer Fahrunterricht,praktischer Unterricht,Übungsfahrt	Lernfahrausweis		
Erscheint der Schüler, die Schülerin in nicht fahrfähigem Zustand, wird die Fahrstunde abgebrochen und zum vollen Tarif verrechnet.	Fahrstunde,Lernfahrt,praktischer Fahrunterricht,praktischer Unterricht,Übungsfahrt	Lernfahrausweis		
Wird ein Ersatzführerschein für einen abhanden gekommenen ausgestellt, hat sich die Fahrerlaubnisbehörde auf Kosten des Antragstellers durch die Einholung einer Auskunft aus dem Zentralen Fahrerlaubnisregister und aus dem Verkehrszentralregister zu vergewissern, daß der Antragsteller die entsprechende Fahrerlaubnis besitzt.	Ersatzführerschein		Führerschein	
Bei Erreichen des Rentenalters und der übrigen Voraussetzungen wird das ordentliche Invalidengeld von Amts wegen in eine Altersrente umgewandelt.	Invalidengeld,ordentliches Invalidengeld			Arbeitsunfähigkeitsrente,Erwerbsunfähigkeitsrente,Zivilinvalidenrente
Ziel des Lehrgangs für Pflegehelferinnen und Pflegehelfer ist es, eine Hilfskraft auszubilden, die sowohl im Sozial- als auch im Gesundheitsbereich tätig sein kann.	Pflegehelfer		Fachkraft des Gesundheitsdienstes,Sanitätsfachkraft	
Die Prüfungskommissionen der gleichgestellten Grundschulen bestehen aus den Lehrern der Klasse und – in der Regel- aus zwei Lehrern, die vom Direktor der Grundschule staatlicher Art auf Vorschlag des Lehrerkollegiums der gleichgestellten Schulen ernannt wurden.	gleichgestellte Grundschule,gleichgestellte Schule		nichtstaatliche Schule	genehmigte Privatschule,staatlich unterstützte Grundschule
Auch die gesetzlich anerkannten Schulen errichten den Klassenrat und das Lehrerkollegium, und es finden, soweit anwendbar, die diesbezüglichen Bestimmungen Anwendung.	gesetzlich anerkannte Schule		nichtstaatliche Schule	
Es können folgende Gymnasien errichtet werden, gegliedert nach den angeführten Fachrichtungen und Schwerpunkten:  d) Kunstgymnasium mit den Fachrichtungen 1) darstellende Kunst, 2) Architektur und Umwelt, 3) audiovisuelle Medien und Multimedia, 4) Design, 5) Grafik, 6) Bühnenbild, .	Kunstgymnasium		Gymnasium,Lyzeum	Gymnasium für Musik und Tanz,Realgymnasium,Sprachengymnasium,klassisches Gymnasium,sozialwissenschaftliches Gymnasium
Nicht protokollierungspflichtig sind Gesetzesanzeiger, Amtsblätter, Nachrichtenblätter der öffentlichen Verwaltung, Zeitungen, Zeitschriften, Bücher, Broschüren, Informations- und Werbematerial, Einladungen zu Veranstaltungen, Entwürfe von Dokumenten, statistisches Material, vertrauliche Korrespondenz sowie getrennt registrierte Dokumente (wie beispielsweise Beschlüsse und Dekrete).	Amtsblatt	Amtsblatt der Region		
Das Mithören, Abhören, Aufzeichnen, Abfangen oder sonstige Überwachen von Nachrichten und der damit verbundenen Verkehrs- und Standortdaten sowie die Weitergabe von Informationen darüber durch andere Personen als einen Benutzer ohne Einwilligung aller beteiligten Benutzer ist unzulässig.	Benutzer		natürliche Person	
Zugriffe auf die Gesamtevidenz sind nur nach geeigneter Identifikation der abfrageberechtigten Mitarbeiter (Benutzerkennung und Kennwort) und Bekanntgabe des Abfragezweckes zulässig.	Benutzerkennung,Kennung			Passwort
Vor allem für junge Beschäftigte sind die Risiken hoch, nach einigen Berufsjahren eine Lärmschwerhörigkeit zu erleiden. Grund dafür ist oftmals die zusätzliche Belastung des Gehörs in der Freizeit durch Konzertbesuche oder zu laute Musik auf den Kopfhörern.	Lärmschwerhörigkeit		Lärmschaden,lärmbedingte Hörschädigung,lärmbedingte Schädigung,lärmbedingter Gehörschaden	
Die öffentlichen Arbeitgeber haben  die Möglichkeit, ein Aufnahmeprogramm zur stufenweisen Erfüllung der Pflichtquote  mit dem Arbeitsamt zu vereinbaren. Dieses Aufnahmeprogramm kann die Aufnahme mittels Wettbewerb, Auswahlverfahren und die namentliche Aufnahme vorsehen.	namentliche Aufnahme			numerische Aufnahme,numerische Berufung
Die Bestimmungen des 2. Teiles des 5. Abschnitts dieses Titels, die das Inventar, die Verwaltung und die Rechnungslegung durch den Inventarerben betreffen, sind mit Ausnahme der Haftungsbeschränkung bei Fahrlässigkeit auf den Kurator der ruhenden Erbschaft anzuwenden.	Teil		Abschnitt,Anführer	
Der unredliche Besitz ist  nicht Bestandteil des rechtlich geschützten Vermögens.	unredlicher Besitz			redlicher Besitz
Gegenüber jedem an sich herausgabepflichtigen Vorbesitzer wäre er der Berechtigte mit seinem Verantwortlichkeitsanspruch für die Zeit bösgläubigen Besitzes ausgeschlossen und bliebe so im Extremfall schutzlos.	bösgläubiger Besitz			gutgläubiger Besitz
Die wichtigsten Datenquellen, die zur Vervollständigung des Landesverzeichnisses beitragen, sind  d) das Grundbuch und der Grundkataster der Autonomen Provinz Bozen und der Autonomen Provinz Trient, .	Grundkataster,Grundstückkataster		Kataster	
Einkünfte aus Grund und Boden sind mit den im Staatsgebiet gelegenen Grundstücken und Gebäuden, welche im Grundstückkataster oder in urbanen Baukataster unter Zuweisung eines Ertrages eingetragen oder einzutragen sind, zusammenhängende Einkünfte.	Grundkataster,Grundstückkataster		Kataster	
Mit dem Gesetz über die Neuordnung des Vermessungswesens vom 3.7. 1934  wurde mit der Einführung eines einheitlichen Liegenschaftskatasters begonnen.	Liegenschaftskataster		Kataster	
Sachen sind Dinge, die Gegenstand von Rechten sein können .	Ding	Gut,Leasingobjekt,Sache		
Betrifft die Zusatzstrafe der verwaltungsbehördlichen Fahrzeugbeschlagnahme ein Kleinkraftrad oder ein Kraftrad, so verfügt das vorgehende Polizeiorgan das Abschleppen des Fahrzeugs .	verwaltungsbehördliche Fahrzeugbeschlagnahme		vorbeugende Maßnahme	
Der Inhaber der Dienstfahrerlaubnis darf von ihr nur während der Dauer des Dienstverhältnisses Gebrauch machen. Bei Beendigung des Dienstverhältnisses ist der Dienstführerschein einzuziehen.	Dienstführerschein		Führerschein	
Für die von einem der Teilhaber eingeräumten Hypotheken sind die im 4. Abschnitt des 3. Titels des 6. Buches enthaltenen Bestimmungen zu beachten.	Abschnitt	Teil	Rechtstitel,Titel	
Entgegen der Ansicht des Antragstellers lässt sich die Anwendung der Vorschrift nicht mit ihrem Wortlaut und der Überschrift des Abschn. IV des Gesetzes begründen.	Titel,Überschrift	Rädelsführer		
Das Signal «Stop»  verpflichtet den Führer, anzuhalten und den Fahrzeugen auf der Strasse, der er sich nähert, den Vortritt zu gewähren.	Signal	Lichtsignal,Markierung	Signalisation,Strassensignalisation	
Mit den Zusatzzeichen und -einrichtungen soll erreicht werden, dass Folgendes ersichtlich gemacht oder angezeigt wird: a) der Straßenverlauf, b) bestimmte gefährliche Kurven oder Stellen, c) Hindernisse auf oder neben der Fahrbahn.	Zusatzzeichen und -einrichtung		Verkehrszeichen	
Lichtzeichen werden eingeteilt in: a) Gefahren- und Vorschriftslichtzeichen, b) Hinweislichtzeichen, b-bis) Leuchttafeln zur Anzeige der Geschwindigkeit vorbeifahrender Fahrzeuge in Echtzeit, c) normale Verkehrsampeln, d) Fahrstreifenampeln, .	Lichtzeichen		Verkehrszeichen	Bodenmarkierung,Verkehrsschild
Als alkoholtypische Beweisanzeichen seien anzusehen, das Fahren mit überhöhter Geschwindigkeit, Fahren in Schlangenlinien, plötzliches Bremsen, Missachten von Vorfahrtszeichen oder einer roten Ampel.	Vorfahrtszeichen		Gebotszeichen,Vorschriftszeichen	
Vortrittssignale sind der äusseren Form nach Gefahren—, Vorschrifts- oder Hinweissignale; .	Vortrittssignal		Gebotszeichen,Vorschriftssignal	
Die Streitkräfte sorgen selbst für die technischen Überprüfungen, die Militärzulassung und die Ausstellung der Fahrzeugpapiere und der Sonderkennzeichen für die ihnen zur Verfügung stehenden Fahrzeuge.	Sonderkennzeichen		Kennzeichen,Kennzeichenschild	Kennzeichen für Probefahrzeuge,Probekennzeichen,Wiederholungskennzeichen,provisorisches Kennzeichen
Die Straße führe  zu einem Park-and-Ride-Parkplatz sowie zum Hintereingang des Bahnhofs, der überregionale Bedeutung habe.	Park-and-Ride-Parkplatz,Umsteigeparkplatz		Parkplatz	
Das Kurzzeitkennzeichen – auch als Überführungskennzeichen bekannt – kommt zum Einsatz, wenn eine Überführungs- oder eine Probefahrt durchgeführt werden muss. Es wird in der Regel für einen, drei oder fünf Tage ausgestellt .	5-Tages-Kennzeichen,Ausfuhrkennzeichen,Kurzzeitkennzeichen,internationales Kurzzeitkennzeichen,Überführungskennzeichen		Kennzeichen,Nummernschild,amtliches Kennzeichen	rotes Kennzeichen
Die Verkehrsregeln  gelten für die Führer von Motorfahrzeugen und die Radfahrer auf allen dem öffentlichen Verkehr dienenden Strassen, für die übrigen Strassenbenützer nur auf den für Motorfahrzeuge oder Fahrräder ganz oder beschränkt offenen Strassen.	Motorfahrzeug		Fahrzeug	
Es bedürfe zur Fortbildung des Rechts einer höchstrichterlichen Klärung, ob der objektive Nachweis einer innergemeinschaftlichen Fahrzeuglieferung dann nicht erbracht sei, wenn die Zeitspanne zwischen Abholung des Fahrzeugs bzw. Abmeldung im Inland und der Zulassung im Bestimmungsland einen Monat überschreite.	Abmeldung,Außerbetriebssetzung	Abmeldebescheinigung		
Gemeinden, Provinzen, Großstädte mit besonderem Status und Regionen sind autonome Körperschaften mit eigenen Statuten, Befugnissen und Aufgaben gemäß den in der Verfassung verankerten Grundsätzen.	autonome Körperschaft		Körperschaft des öffentlichen Rechts,öffentlich-rechtliche Körperschaft,öffentliche Körperschaft	
