context	tgt_term_gold	tgt_term_AT	tgt_term_DE	tgt_term_CH
Der Anteil, der dem Gesellschafter zusteht, der seine Arbeit eingebracht hat, wird, wenn er im Vertrag nicht bestimmt ist, vom Gericht nach Billigkeit festgesetzt.	Arbeit	Arbeitsleistung	Dienstleistung	
Die Gründer können sich unabhängig von ihrer Eigenschaft als Gesellschafter im Gründungsvertrag eine Beteiligung an den in der Bilanz ausgewiesenen Reingewinnen in einem Ausmaß von insgesamt nicht mehr als einem Zehntel und für eine Höchstdauer von fünf Jahren vorbehalten.	Eigenschaft als Gesellschafter,Gesellschafterstellung	Mitgliedschaft		Mitgliedschaft
Wer in eine bereits gegründete Gesellschaft eintritt, haftet mit den übrigen Gesellschaftern für die Verbindlichkeiten der Gesellschaft, die vor dem Erwerb der Gesellschafterstellung entstanden sind.	Eigenschaft als Gesellschafter,Gesellschafterstellung	Mitgliedschaft		Mitgliedschaft
Auf Antrag eines jeden, der ein Interesse daran hat, kann die Gerichtsbehörde den Testamentsvollstrecker wegen schwerwiegender Unregelmäßigkeiten bei der Erfüllung seiner Pflichten, wegen Untauglichkeit zum Amt oder wegen Vornahme von Handlungen, die seine Vertrauenswürdigkeit beeinträchtigen, aus seinem Amt befreien.	Untauglichkeit		Ungeeignetheit	
Die Regel gilt überhaupt nicht für die abgeleitete Firma, d.h. bei Fortführung der Firma eines von der AG übernommenen Unternehmens.	abgeleitete Firma	fortgeführte Firma	fortgeführte Firma	
Tritt ein Verlust am Gesellschaftskapital ein, können Gewinne solange nicht verteilt werden, bis das Kapital wieder ergänzt oder im entsprechenden Ausmaß herabgesetzt wird.	Verlust am Gesellschaftskapital	Kapitalverlust	Kapitalverlust	Kapitalverlust
Bei der Kommanditgesellschaft haften die Komplementäre als Gesamtschuldner und unbeschränkt für die Verbindlichkeiten der Gesellschaft und haften die Kommanditisten beschränkt auf den eingebrachten Anteil.	Komplementär	persönlich haftender Gesellschafter	persönlich haftender Gesellschafter	unbeschränkt haftender Gesellschafter
Die Ausgabe und der Verkauf der Aktien vor der Eintragung der Gesellschaft ist nichtig.	Ausgabe	Emission	Auflegung,Begebung,Emission,Erstplazierung	Emission
Für die auf unbestimmte Zeit Beauftragten gelten hinsichtlich der Gehaltsvorrückung die für das entsprechende Planstellen-Personal vorgesehenen Bestimmungen sinngemäß.	Beauftragter		beauftragte Person	
Die Bestimmungen des vorhergehenden Artikels finden auch auf Gesellschafter Anwendung, die bei der Einheitsgründung oder bei jener durch öffentliche Zeichnung den Gründungsvertrag abschließen.	Einheitsgründung	Simultangründung	Simultangründung,Übernahmegründung	
Die Bestimmungen dieses Artikels finden auch auf die vorläufigen Bescheinigungen Anwendung.	vorläufige Bescheinigung	Interimsschein,Zwischenschein	Interimsschein,Zwischenschein	Interimsschein
"Gibt die vertragliche Vereinbarung nur die unabhängig von ihr gegebene gesetzliche Rechtslage wieder (""inhaltsleere Vertragsfloskel""), so wird das Rechtsschutzbegehren in Wahrheit auf das Gesetz gestützt und ist daher im Verfahren außer Streitsachen zu entscheiden."	Vertragsfloskel		formularhafte Klausel	
Die Aufnahme der Beweismittel im Beweissicherungsverfahren läßt die Fragen nach ihrer Zulässigkeit oder Erheblichkeit unberührt und ist auch kein Hindernis für ihre neuerliche Aufnahme im Verfahren in der Sache selbst.	Aufnahme der Beweismittel im Beweissicherungsverfahren	vorsorgliche Beweisaufnahme	vorsorgliche Beweisaufnahme	vorsorgliche Beweisführung
Die verfahrensrechtlichen Wirkungen, welche die Flucht nach sich zieht, treten nur in dem Strafverfahren ein, in dem die entsprechende Erklärung erfolgt ist.	Flucht,fluchtbedingte Unauffindbarkeit	Verbergen seines Aufenthaltes	Sichverborgenhalten	
Im stattgebenden Urteil, das gemäß Artikel 384 des Gesetzbuches erlassen wird, legt der Gerichtshof im einzelnen die Rechtsansicht dar, an die sich das Verweisungsgericht zu halten hat.	stattgebendes Urteil			zusprechendes Urteil
Der inhaftierte oder in eine Anstalt zum Vollzug von Sicherungsmaßregeln eingewiesene Angeklagte kann Rechtsmittel, Erklärungen und Anträge beim Leiter der Anstalt einreichen.	Sicherungsmaßnahme,Sicherungsmaßnahmen,Sicherungsmaßregel,persönliche Sicherungsmaßnahme,persönliche Sicherungsmaßregel	vorbeugende Maßnahme	Maßregel der Besserung und Sicherung	sichernde Massnahme
Ist die gesamte Dauer der verhängten Strafe abgelaufen , bleibt die Strafe erloschen und die vom Richter in dem auf Verurteilung lautenden Urteil oder durch eine spätere Verfügung angeordneten persönlichen Sicherungsmaßnahmen werden widerrufen.	Sicherungsmaßnahme,Sicherungsmaßnahmen,Sicherungsmaßregel,persönliche Sicherungsmaßnahme,persönliche Sicherungsmaßregel	vorbeugende Maßnahme	Maßregel der Besserung und Sicherung	sichernde Massnahme
Niemand kann Sicherungsmaßnahmen unterworfen werden, die nicht ausdrücklich durch das Gesetz bestimmt sind, und nicht außerhalb der Fälle, die das Gesetz vorsieht.	Sicherungsmaßnahme,Sicherungsmaßnahmen,Sicherungsmaßregel,persönliche Sicherungsmaßnahme,persönliche Sicherungsmaßregel	vorbeugende Maßnahme	Maßregel der Besserung und Sicherung	sichernde Massnahme
Zurechnungsfähig ist, wer im Zeitpunkt der Begehung der Tat das vierzehnte, aber noch nicht das achtzehnte Lebensjahr vollendet hatte und einsichts- und willensfähig war .	zurechnungsfähig		schuldfähig	schuldfähig
Wer sich im Zeitpunkt der Begehung der Tat infolge einer Krankheit in einem Geisteszustand befand, der die Einsichts- oder Willensfähigkeit erheblich vermindert, aber nicht ausschließt, ist für die begangene strafbare Handlung verantwortlich .	Willensfähigkeit	Dispositionsfähigkeit	Steuerungsfähigkeit	
Steht einer der Ehegatten unter Vormundschaft oder Pflegschaft, ist auch der Vormund oder der Beistand widerspruchsberechtigt.	Vormundschaft	Obsorge einer anderen Person		umfassende Beistandschaft
Die Einlassung des Beklagten erfolgt dadurch, daß in der Kanzlei eine Verteidigungseingabe hinterlegt wird .	Verteidigungseingabe,Verteidigungsschrift	Klagebeantwortung	Klageerwiderung	Klageantwort
Die Einlassung des Berufungsgegners erfolgt durch die in der Gerichtskanzlei vorzunehmende Hinterlegung der Akte und einer Verteidigungsschrift, in der eine ausführliche Darlegung seines gesamten Verteidigungsvorbringens enthalten sein muß.	Verteidigungseingabe,Verteidigungsschrift	Klagebeantwortung	Klageerwiderung	Klageantwort
Die Unterbringung in einer gerichtlichen Erziehungsanstalt wird bei einem Minderjährigen unter achtzehn Jahren, der Gewohnheitsverbrecher, gewerbsmäßiger Verbrecher oder Hangverbrecher ist, stets angeordnet.	gewerbsmäßiger Verbrecher	Berufstäter,Berufsverbrecher		Berufsverbrecher
Zum Hangverbrecher wird erklärt, wer, ohne rückfällig zu sein oder ohne gewohnheitsmäßig oder gewerbsmäßiger Verbrecher zu sein, ein nicht fahrlässiges Verbrechen gegen das Leben oder die persönliche Unversehrtheit begeht .	Hangverbrecher	Hangtäter		
Die Gefängnisstrafe erlischt mit Ablauf einer Frist, die das Doppelte der verhängten Strafe und in jedem Fall nicht mehr als dreißig und nicht weniger als zehn Jahre beträgt.	Gefängnis,Gefängnisstrafe	Freiheitsstrafe	Freiheitsstrafe	Freiheitsstrafe
Unter der Bezeichnung in Geld abzuleistende Strafen versteht das Gesetz: die Geldstrafe und die Geldbuße.	Geldbuße			Busse
Die lebenslange Gefängnisstrafe wird in einer dazu bestimmten Anstalt unter Verpflichtung zur Arbeit und in Einzelhaft bei Nacht verbüßt.	lebenslange Gefängnisstrafe	lebenslange Freiheitsstrafe	lebenslange Freiheitsstrafe	lebenslängliche Zuchthausstrafe
Das der anderen Partei oder ihrem Vertreter gegenüber abgegebene außergerichtliche Geständnis hat dieselbe Beweiskraft wie das gerichtliche.	außergerichtliches Geständnis			aussergerichtliches Geständnis
Das Verbot der Bekleidung öffentlicher Ämter ist unbefristet oder befristet.	Ausschluss von öffentlichen Ämtern,Verbot der Ausübung öffentlicher Ämter,Verbot der Bekleidung öffentlicher Ämter		Verlust der Amtsfähigkeit, der Wählbarkeit und des Stimmrechts	
Die Verurteilung eines Elternteils hat die Verwirkung der elterlichen Gewalt zur Folge.	Verwirkung der elterlichen Gewalt,Verwirkung der elterlichen Gewalt über die Kinder	Entziehung der Obsorge	Entzug des elterlichen Sorgerechts	Entziehung der elterlichen Sorge,Entzug der elterlichen Sorge
Der Stiftungsakt kann vom Stifter widerrufen werden, solange die Anerkennung der Stiftung nicht erfolgt ist oder der Stifter die Tätigkeit des von ihm verfügten Werkes nicht aufnehmen lassen hat.	Stiftungsakt,Stiftungsurkunde	Stiftungserklärung	Stiftungsgeschäft	
Die Regierungsbehörde übt die Kontrolle und Aufsicht über die Verwaltung der Stiftungen aus, sorgt für die Bestellung und Ersetzung der Verwalter oder Vertreter, wenn sich die in der Stiftungsurkunde enthaltenen Bestimmungen nicht durchführen lassen .	Stiftungsakt,Stiftungsurkunde	Stiftungserklärung	Stiftungsgeschäft	
Gegenstand der Beweisführung sind Tatsachen, die sich auf die Anklage, auf die Strafbarkeit und auf die Bestimmung der Strafe oder der Sicherungsmaßnahmen beziehen.	Bestimmung der Strafe	Bemessung der Strafe,Strafzumessung	Strafbemessung	Bemessung der Strafe,Strafzumessung
Der Steuerzahler kann die Rückerstattung der irrtümlich bezahlten Abgaben innerhalb der Verfallsfrist von drei Jahren mit Ablauf vom Tag der Zahlung oder, im Falle der Verweigerung des abgabenpflichtigen Aktes, vom Datum der Mitteilung der genannten Verweigerung beantragen.	Ausschlussfrist,Fallfrist,Verfallsfrist	Präklusivfrist		Präklusionsfrist
Niemand kann vorbeugenden Maßnahmen unterworfen werden, wenn gegen ihn nicht schwerwiegende Schuldindizien vorliegen.	Schuldindiz	Tatverdacht	Tatverdacht	Tatverdacht
Bei den Landesgerichten nimmt der Präsident die Bestellung des Vollstreckungsrichters nach Vorlage der Akte durch den Kanzleibeamten, die innerhalb von zwei Tagen nach ihrer Anlegung zu erfolgen hat, vor.	Vollstreckungsgericht,Vollstreckungsrichter	Exekutionsgericht		
Wenn zwischen den Parteien eine Schlichtung zustande kommt, wird hierüber ein Protokoll aufgenommen, das von den Parteien und vom Sachverständigen unterschrieben und in die Amtsakte aufgenommen wird.	Amtsakte,Gerichtsakte	Gerichtsakt		
Der Kanzleibeamte hat dem ordnungsgemäß benannten Privatsachverständigen von den vorgesehenen Untersuchungen des Amtssachverständigen Mitteilung zu machen (136 ZPO), damit er an ihnen gemäß Artikel 194 und 201 der Zivilprozeßordnung teilnehmen kann.	Amtssachverständiger,Gerichtssachverständiger,Sachverständiger		gerichtlicher Sachverständiger	
Wenn es die Natur der Streitigkeit erfordert, kann der Richter jederzeit im Sinne von Artikel 97 Amtliche Sachverständigengutachten einen Sachverständigen oder mehrere Sachverständige ernennen.	Amtssachverständiger,Gerichtssachverständiger,Sachverständiger		gerichtlicher Sachverständiger	
Die Versammlung in erster Einberufung ist beschlussfähig, wenn daran so viele Miteigentümer teilnehmen, dass sie zwei Drittel des Wertes des gesamten Gebäudes und die Mehrheit der Teilhaber an der Miteigentümergemeinschaft vertreten.	Miteigentümer	Wohnungseigentümer	Wohnungseigentümer	Stockwerkeigentümer
Bei Unterlassung der Zustellung haben die Miterben, solange die Erbgemeinschaft besteht , das Recht, den Anteil vom Erwerber und jedem späteren Rechtsnachfolger einzulösen.	Erbgemeinschaft	Erbengemeinschaft	Erbengemeinschaft	Erbengemeinschaft
Sind zur Durchführung der Beförderung besondere Urkunden erforderlich, hat der Absender diese dem Beförderer bei der Übergabe der zu befördernden Sachen auszuhändigen.	Beförderung,Beförderungsvertrag	Beförderungsgeschäft,Frachtvertrag,Transportvertrag	Beförderungsgeschäft,Frachtgeschäft,Frachtvertrag,Transportvertrag	Frachtvertrag
Friaul - Julisch Venetien, Sardinien, Sizilien, Trentino - Alto Adige/Südtirol und Aostatal/Vallèe d‘Aoste verfügen über besondere Formen und Arten der Autonomie gemäß Sonderstatuten, die mit Verfassungsgesetz genehmigt werden.	Autonomie	Selbstverwaltung	Selbstverwaltung	
Die Ernennung der Friedensrichter und ihrer Stellvertreter, die Erklärung des Amtsverlustes, die Entlassung und die Amtsenthebung erfolgen durch den Präsidenten der Region auf Grund einer Delegierung durch den Präsidenten der Republik unter Beachtung der übrigen einschlägigen Bestimmungen der Gerichtsordnung.	Delegierung,Delegierung von Befugnissen		Delegation,Übertragung von Befugnissen	
Der Minister für Infrastruktur und Verkehr kann den Präfekten und den Straßeneigentümern Richtlinien zur Anwendung der Vorschriften über die Straßenverkehrsregelung auf den in Artikel 2 genannten Straßen erteilen.	Richtlinie		Verwaltungsrichtlinie	
Die öffentlichen Angestellten stehen im ausschließlichen Dienst des Staates.	Angestellter des öffentlichen Dienstes,Angestellter im öffentlichen Dienst,öffentlicher Angestellter			öffentlichrechtlicher Angestellter
Man unterscheidet kaufmännische Angestellte, gewerblich technische Angestellte, Angestellte des öffentlichen Dienstes für die vor allem der BAT gilt.	Angestellter des öffentlichen Dienstes,Angestellter im öffentlichen Dienst,öffentlicher Angestellter			öffentlichrechtlicher Angestellter
Der Verwaltungsrekurs setzt nicht die Fristen für die Anfechtung vor Gericht aus. Die Einbringung eines gerichtlichen Rekurses gegen dieselbe Maßnahme führt zur Unverfolgbarkeit des Verwaltungsrekurses.	Verwaltungsbeschwerde,Verwaltungsrekurs	Berufung		
Die gesetzlichen Bestimmungen, die für die Einrichtung einer Verwaltungsbeschwerde eine längere Frist vorsehen als die in Absatz 4 angegebene, sind aufgehoben.	Verwaltungsbeschwerde,Verwaltungsrekurs	Berufung		
Im Lande Südtirol obliegt die Ergreifung geeigneter Maßnahmen zur Überwachung und zur Vorbeugung der Unfälle bei Bergtouren, Wanderungen und Höhlenforschungen und die Hilfeleistung an verunglückten oder sich in Gefahr befindlichen Personen sowie die Bergung der Abgestürzten den Rettungsdiensten .	Hilfeleistung	Hilfe	Hilfe	Hilfe
Art. 20 des Landesgesetzes Nr. 17/93 betrifft Fachgutachten, die während der Ermittlungsphase des Verfahrens aufgrund einer Rechtsvorschrift des Landes, der Region, des Staates oder der Gemeinschaft von dazu vorgesehenen Organen oder Einrichtungen eingeholt werden müssen.	Ermittlungsphase,Ermittlungsverfahren,Sachverhaltsermittlung			Ermittlung
In der Begründung sind die Ergebnisse des Ermittlungsverfahrens, die bei der Beweiswürdigung maßgebenden Erwägungen und die darauf gestützte Beurteilung der Rechtsfrage klar und übersichtlich zusammenzufassen.	Ermittlungsphase,Ermittlungsverfahren,Sachverhaltsermittlung			Ermittlung
Jede Verwaltungsmaßnahme muß begründet sein  in Bezug auf das Ergebnis der Sachverhaltsermittlung.	Ermittlungsphase,Ermittlungsverfahren,Sachverhaltsermittlung			Ermittlung
Die Verkehrspläne werden nach den Richtlinien des Ministers für Infrastruktur und Verkehr erstellt, die unter Mitwirkung des Ministers für Umwelt und Landschaftsschutz und auf der Grundlage der Empfehlungen des interministeriellen Komitees für Wirtschaftsprogrammierung im Verkehr erlassen werden.	im Einvernehmen,unter Mitwirkung		einvernehmlich	
Das Erlöschen des Überbaurechts wegen Zeitablaufs führt zum Erlöschen der vom Überbauberechtigten begründeten dinglichen Rechte.	Inhaber des Überbaurechts,Überbauberechtigter	Bauberechtigter	Erbbauberechtigter	Bauberechtigter
Die BBM, die ZeMeT, der Antrag auf Baugenehmigung sowie der Antrag auf landschaftsrechtliche Genehmigung können eingereicht werden:  b) vom Inhaber des Überbaurechts gemäß Artikel 952 des Zivilgesetzbuches .	Inhaber des Überbaurechts,Überbauberechtigter	Bauberechtigter	Erbbauberechtigter	Bauberechtigter
Dem Gesuch um Ermächtigung aufgrund der UVP sind folgende Unterlagen beizulegen und bei der Landesagentur für Umwelt und Arbeitsschutz (Umweltagentur) einzureichen: a) Umweltverträglichkeitsstudie (UVS) .	UVS,Umweltverträglichkeitsstudie	UVE,Umweltverträglichkeitserklärung	UVP-Bericht	Umweltverträglichkeitsbericht
Wer seiner Meldepflicht  nicht rechtzeitig nachkommt oder eine unvollständige Meldung abgibt, wird mit einer Geldbuße von zwanzigtausend bis hundertzwanzigtausend Euro bestraft.	Meldepflicht			Anmeldepflicht
Der beurkundete Notar hat innerhalb von dreißig Tagen ab dem Tag der Eheschließung  die Anmerkung des Ehegütervertrags oder des Vertrages zur Abänderung eines solchen am Rand der Heiratsurkunde zu beantragen.	Ehegütervertrag	Ehepakt	Ehevertrag	Ehevertrag
Behörden, die Informationen erhalten, welche der Geheimhaltung unterliegen, gewährleisten deren Vertraulichkeit .	Vertraulichkeit		Datenvertraulichkeit	Datenvertraulichkeit
Die Wandelschuldverschreibungen können nicht zu einem geringeren Betrag als ihrem Nennwert ausgegeben werden.	Wandelschuldverschreibung		convertible bonds	Wandelanleihe,Wandelobligation
Der Streitwert bestimmt sich nach dem Wert der Aktiva des Nachlasses, der für die beweglichen Sachen entsprechend der bei der Inventarerrichtung vorgenommenen Schätzung und für die Liegenschaften  zu berechnen ist.	Aktiva der Erbschaft,Aktiva des Nachlasses,Aktivastand der Erbschaft	Aktiven der Verlassenschaft,Nachlassaktiven	Nachlassaktiva	Nachlassaktiven
Die Wähler müssen den Personalausweis oder einen anderen von einer öffentlichen Körperschaft oder Anstalt ausgestellten Erkennungsausweis mit Lichtbild vorweisen.	Personalausweis			IDK,Identitätskarte
Zu jedem Abänderungsantrag darf jeder Abgeordnete für insgesamt höchstens zehn Minuten das Wort ergreifen.	Abänderungsantrag		Änderungsantrag,Änderungsvorschlag	Änderungsantrag
Der Beirat wird mit Beschluß der Landesregierung ernannt und bleibt für die Dauer der Legislaturperiode, in der er ernannt wird, im Amt.	Gesetzgebungsperiode,Legislatur,Legislaturperiode		Wahlperiode	
Die Kommission bleibt für die Dauer der Legislatur im Amt.	Gesetzgebungsperiode,Legislatur,Legislaturperiode		Wahlperiode	
Das Regionalorgan wird zu Beginn einer jeder Gesetzgebungsperiode vom Präsidenten des Regionalrates ernannt und setzt sich aus drei Bürgern zusammen, die bei den Regionalratswahlen wahlberechtigt sind, dem Regionalrat aber nicht angehören.	Gesetzgebungsperiode,Legislatur,Legislaturperiode		Wahlperiode	
Der Übergang wird durch Vorlage einer Kopie des registrierten Vertrages oder, wenn es sich um ein Rechtsgeschäft von Todes wegen handelt, durch die Vorlage einer beglaubigten Kopie der Bescheinigung über die Erbnachfolge nachgewiesen.	Bescheinigung über die Erbnachfolge,Erbschein	Einantwortungsurkunde		Erbbescheinigung,Erbenschein
Im Erbschein, der vor der Festsetzung des Übernahmspreises erlassen werden sollte, hat der Bezirksrichter zu bescheinigen, daß die Übernahme des geschlossenen Hofes dem berufenen Erben im Sinne des Gesetzes über die geschlossenen Höfe zusteht.	Bescheinigung über die Erbnachfolge,Erbschein	Einantwortungsurkunde		Erbbescheinigung,Erbenschein
Auf jeden Fall kann der Antrag auf Abstimmung nach Sprachgruppen bis zu dem Augenblick eingebracht werden, in dem zur Schlußabstimmung über den Gesetzentwurf übergegangen wird.	Gesetzentwurf,Gesetzesvorschlag	Gesetzesantrag		
Wenn angenommen wird, daß ein Gesetzesvorschlag die Gleichheit der Rechte zwischen den Bürgern verschiedener Sprachgruppen oder die volkliche und kulturelle Eigenart der Sprachgruppen verletzt	Gesetzentwurf,Gesetzesvorschlag	Gesetzesantrag		
Die Eintreibung der Forderung der öffentlichen Hand erfolgt: a) durch Eintreibung im Verwaltungsweg, b) durch Zwangsvollstreckung .	Zwangsvollstreckung	Exekution,Zwangsexekution		
Die erforderlichen Abänderungen an dem Vorschlag werden mit Bilanzgesetz vorgenommen.	Bilanzgesetz,Haushaltsgesetz	Bundesfinanzgesetz		
Für die nachfolgenden Jahre werden die erforderlichen Ansätze durch Haushaltsgesetz festgelegt.	Bilanzgesetz,Haushaltsgesetz	Bundesfinanzgesetz		
Der Umschlag Nr. 1 beinhaltet  einen dritten Briefumschlag mit den ungültigen Stimmzetteln, den weißen Stimmzetteln und den Stimmzetteln mit beanstandeten Listen- oder Vorzugsstimmen, die aber nicht zugewiesen wurden .	nichtiger Stimmzettel,ungültiger Stimmzettel			ungültiger Wahlzettel
Die Wahlkommission bestimmt spätestens 20 Tage vor dem Wahltag die Anzahl und die Verteilung der Wahlsprengel: jedem Wahlsprengel wird eine Wählerzahl zugewiesen, die so bemessen sein muß, daß die Geheimhaltung der Wahl gewährleistet ist.	Geheimhaltung der Stimme,Geheimhaltung der Wahl,Wahlgeheimnis,geheime Stimmabgabe	geheimes Wahlrecht	geheime Wahl	
In Zweifelsfällen soll stets die positive Lösung bevorzugt werden, vorausgesetzt, daß die Geheimhaltung der Stimme gewährleistet ist.	Geheimhaltung der Stimme,Geheimhaltung der Wahl,Wahlgeheimnis,geheime Stimmabgabe	geheimes Wahlrecht	geheime Wahl	
In der Abteilung für die Stimmabgabe müssen eine oder zwei Kabinen aufgestellt werden; diese müssen so beschaffen sein, daß die geheime Stimmabgabe gewährleistet ist.	Geheimhaltung der Stimme,Geheimhaltung der Wahl,Wahlgeheimnis,geheime Stimmabgabe	geheimes Wahlrecht	geheime Wahl	
Innerhalb des zwanzigsten Tages vor dem Wahltag hat die Landeswahlkommission die Zahl und den jeweiligen Ort der Wahlsitze in der Weise festzulegen, daß jedem Wahlsitz so viele Wähler zugewiesen werden, als im Interesse des Wahlgeheimnisses zweckmäßig sind.	Geheimhaltung der Stimme,Geheimhaltung der Wahl,Wahlgeheimnis,geheime Stimmabgabe	geheimes Wahlrecht	geheime Wahl	
Auf Grund des im Raumprogramm ermittelten Bedarfs kann der Bauentwurf ausgearbeitet werden. Zuerst wird der Vorentwurf erstellt, welcher in der Regel folgende Unterlagen enthält: Auszug aus der Katastermappe mit dem Verzeichnis der Grundeigentümer.	Auszug aus der Katastermappe,Katasterplanauszug	Auszug aus dem Katasterplan,Auszug aus der Katastralmappe	Auszug aus dem Katasterplan	Auszug aus dem Katasterplan
Die Wahl des Güterstands der Gütertrennung kann auch in der Heiratsurkunde erklärt werden.	Heiratsurkunde		Eheurkunde	Eheschein
Wurde die als nichtig festgestellte Ehe von beiden Ehegatten schlechtgläubig eingegangen, treten die Wirkungen einer gültigen Ehe bezüglich der in dieser Ehe geboren oder gezeugten Kinder ein, es sei denn, die Nichtigkeit beruht auf Doppelehe oder Blutschande.	Blutschande,Inzest		Beischlaf zwischen Verwandten	
Das Eheband selbst wird immer schwächer, seine Lösung immer leichter.	Eheband,eheliche Bindung	eheliche Verbindung	eheliche Verbindung	
Wird die Klage von einem Elternteil oder vom Staatsanwalt erhoben, ist sie zurückzuweisen wenn  jedenfalls der Wille des Minderjährigen, die eheliche Bindung aufrechtzuhalten, festgestellt wird.	Eheband,eheliche Bindung	eheliche Verbindung	eheliche Verbindung	
Jedoch kann der Vermächtnisnehmer eines Fruchtgenusses oder eines Gebrauchs  diese nur während der Ehelosigkeit oder des Witwenstands nutzen.	Witwenschaft,Witwenstand,Witwerstand	Witwerschaft	Witwerschaft	Witwerschaft
Die genannten Strafen werden nebeneinander gegen denjenigen verhängt der: die Güter seines minderjährigen Kindes oder des Ehegatten veruntreut oder verschwendet .	minderjähriges Kind	Mündel	Mündel	Mündel
Die bloße - wenn auch noch so lange und bis zum Tod des Versicherten dauernde - nichteheliche Lebensgemeinschaft mit einem Versicherten  eröffnet nach dem Tod des Versicherten keinen Anspruch auf Witwenpension.	eheähnliche Beziehung,eheähnliche Lebensgemeinschaft,nichteheliche Lebensgemeinschaft	Konkubinat,außereheliche Lebensgemeinschaft,eheähnliche Gemeinschaft	Konkubinat,eheähnliche Gemeinschaft	Konkubinat,eheähnliche Gemeinschaft
Die Differenz muß, soweit sie auf abschreibungsfähige Güter oder auf den Geschäftswert entfällt, abgeschrieben werden.	abschreibungsfähiges Gut		abschreibbares Wirtschaftsgut,abschreibungsfähiges Wirtschaftsgut	
Der Verfassungsgerichtshof urteilt: über Streitigkeiten betreffend die Verfassungsmäßigkeit der Gesetze und der Akten, die Gesetzeskraft haben, des Staates und der Regionen .	Verfassungsmäßigkeit			Verfassungsmässigkeit
Zur Erreichung des in Artikel 1 angeführten Zieles ist die Landesregierung ermächtigt, Kontokorrent-Krediteröffnungen oder Finanzierungen, auch zinslose, zugunsten von Kreditanstalten oder -unternehmen, die in Südtirol tätig sind und die fachlichen und organisatorischen Voraussetzungen haben, zu gewähren .	zinslos	unverzinslich	unverzinslich	unverzinslich
Die Ausschüttung von Anzahlungen auf die Dividenden ist nur jenen Gesellschaften erlaubt, deren Jahresabschluß gesetzlich der Bestätigung durch die in eine Sonderliste eingetragenen Prüfungsgesellschaften unterliegt.	Prüfungsgesellschaft	Wirtschaftsprüfungsgesellschaft	Prüfungsverband,Wirtschaftsprüfungsgesellschaft	Kontrollstelle,Revisionsverband
Die Ermächtigung für den Abbau von Steinbrüchen und Gruben hat eine Laufzeit von höchstens 20 Jahren ab Tätigkeitsbeginn.	Ermächtigung,Verwaltungsbewilligung,Verwaltungsermächtigung,Verwaltungsgenehmigung,behördliche Erlaubnis		Erlaubnis	Bewilligung
Die Geschäfte mit gemischten Tätigkeiten, welche der Verwaltungsermächtigung der Gemeinde unterliegen, beachten die Geschäftszeiten für die vorwiegende Tätigkeit. Unterschiedliche Geschäftszeiten sind nicht zulässig.	Ermächtigung,Verwaltungsbewilligung,Verwaltungsermächtigung,Verwaltungsgenehmigung,behördliche Erlaubnis		Erlaubnis	Bewilligung
Die Tourismusverbände sind befugt, Reservierungen, samt den dazugehörigen Leistungen, ohne eigene Verwaltungsbewilligung vorzunehmen, sofern sie sich auf das jeweilige Einzugsgebiet beschränken.	Ermächtigung,Verwaltungsbewilligung,Verwaltungsermächtigung,Verwaltungsgenehmigung,behördliche Erlaubnis		Erlaubnis	Bewilligung
Das Gericht kann sowohl im Lauf des entscheidungsvorbereitenden Verfahrens als auch in der Entscheidung die Trennung der Rechtsstreitigkeiten verfügen, wenn dies von allen Parteien beantragt wird oder wenn die Fortdauer ihrer Verbindung das Verfahren verzögern oder erschweren würde .	Trennung der Rechtsstreitigkeiten	Trennnung der Verfahren	Prozesstrennung	Trennung der Verfahren
Der Generalstaatsanwalt beim Oberlandesgericht ordnet mit begründetem Dekret und erforderlichenfalls nach Einholung der notwendigen Auskünfte die Übernahme der Vorerhebungen an, wenn .	Übernahme	Devolution	Devolution	Devolution
Ein Verfassungsgesetz bestimmt die Voraussetzungen, die Formen und die Fristen für die Einleitung der Verfahren über die Verfassungsmäßigkeit sowie die Garantien für die Unabhängigkeit der Richter des Verfassungsgerichtshofes.	Unabhängigkeit des Richters	richterliche Unabhängigkeit	richterliche Unabhängigkeit	richterliche Unabhängigkeit
Die Abteilungen entscheiden in der Regel in der Besetzung mit drei Richtern oder Richterinnen (Spruchkörper).	Spruchkörper,richterlicher Senat	Richterkollegium	Richterkollegium	Richterkollegium
Im Falle einer de facto-Gesellschaft muß wenigstens ein Mitglied, das die vorgeschriebenen Voraussetzungen für die Eintragung der Gesellschaft in das Verzeichnis der Handelstätigen erfüllt, in dieses eingetragen werden.	de facto-Gesellschaft,faktische Gesellschaft	fehlerhafte Gesellschaft	fehlerhafte Gesellschaft	
Ein staatliches Monopol für Sportwetten ist mit dem Grundrecht der Berufsfreiheit des Art. 12 Abs. 1 GG nur vereinbar, wenn es konsequent am Ziel der Bekämpfung von Suchtgefahren ausgerichtet ist.	staatliches Monopol	Staatsmonopol		
Oberstes Aufsichtsorgan für Wertpapiergesellschaften (SIM) und Anlageberater ist die Wertpapieraufsichtsbehörde (CONSOB) mit Sitz in Rom.	Wertpapiergesellschaft	Wertpapierfirma	Wertpapierdienstleistungsunternehmen	Wertpapierfirma
Niemand darf seinem ordentlichen, durch Gesetz vorbestimmten Richter entzogen werden.	gesetzlicher Richter,ordentlicher, durch Gesetz vorbestimmter Richter			verfassungsmässiger Richter
