context	tgt_term_gold	tgt_term_homonym
Der Unternehmer hat dafür zu sorgen, dass während der Beförderung ein Nachweis über eine gültige Haftpflichtversicherung, die den Ansprüchen des Absatzes 1 entspricht, mitgeführt wird.	Beförderung	Beförderungsgeschäft,Beförderungsvertrag,Frachtvertrag
Der Unternehmer hat den Arbeitnehmern, die im Lärmbereich  beschäftigt werden, geeignete Gehörschutzmittel zur Verfügung zu stellen.	Gehörschutzmittel	Gehörschutz,Schutz des Gehörs
Der Unterschied zwischen Handelsmakler und Handelsvertreter besteht vor allem darin, daß der Handelsmakler zur Neutralität verpflichtet ist, während der Handelsvertreter die wirtschaftlichen Interessen seines auftraggebenden Unternehmers vertreten kann.	Handelsvertreter	Arbeitsstoff,Einwirkung,Täter
Der Urheber oder die Urheberin eines Computerprogrammes hat zudem das ausschliessliche Recht, dieses zu vermieten.	Computerprogramm	Software
Der Usufruktuar hat auch das Recht, die Sache in Bestand zu geben, sie also zu vermieten oder zu verpachten.	Usufruktuar	Fruchtnießer
Der Verantwortliche sieht angemessene und spezifische Maßnahmen zur Wahrung der Interessen der betroffenen Person  vor.	Wahrung	Vormundschaft
Der Verpflichtete hat dem Zwangsverwalter alle zur Geschäftsführung nötigen Unterlagen zu übergeben und alle erforderlichen Aufklärungen zu erteilen.	Zwangsverwalter	gerichtlich bestellter Verwalter
Der Verpächter kann die Anerkennung des eigenen Rechts ein Jahr vor Ablauf des Zwanzigjahresfrist von dem verlangen, der sich im Besitz der Erbpachtgrundstück befindet.	Anerkennung	Identifizierung
Der Versicherte ist verpflichtet, dem Versicherer, wenn er es verlangt, auf dessen Kosten eine öffentlich beglaubigte Anerkennungsurkunde über den Eintritt in die Rechte gegen den Dritten zu erteilen.	Versicherer	Versicherungsagent,Versicherungsvertreter
Der Versicherungsnehmer hat die vereinbarte Prämie zu entrichten. Als Prämien  gelten auch die bei Versicherungsunternehmungen auf Gegenseitigkeit zu entrichtenden Beiträge.	Prämie	Preis
Der Versicherungsvertrag muss Deckung für die sich aus der gewerblichen Tätigkeit im Anwendungsbereich dieser Verordnung Immobiliardarlehensvermittlungsverordnung ergebenden Haftpflichtgefahren für Vermögensschäden gewähren.	Verordnung	Geschäftsordnung
Der Versicherungsvertreter hat einen Provisionsanspruch aus §§ 354, 87 ff. HGB. Dieser Anspruch ist erfolgsbezogen.	Versicherungsvertreter	Versicherer,Versicherungsgesellschaft,Versicherungsunternehmen
Der Versprechende kann dem Dritten gegenüber die Einwendungen erheben, die auf dem Vertrag beruhen, aus dem der Dritte sein Recht herleitet .	Versprechender	Verlobter
Der Verteidiger hat das Recht, auf den Vortrag der Anklage mit einer Gegenäußerung zu erwidern.	Gegenäußerung	Gegeneinwendung
Der Vertrag kann bestimmen, auf welche Art und Weise der stille Gesellschafter die Führung des Unternehmens oder die Abwicklung des Geschäfts, für welche die stille Gesellschaft vereinbart worden ist, überwachen darf.	stiller Gesellschafter	Mitglied,Vereinsmitglied
Der Vertrag zugunsten Dritter begründet eine Dreiecksbeziehung zwischen Versprechendem, Versprechensempfänger und Drittem.	Versprechender	Verlobter
Der Verwahrer hat bei der Aufbewahrung die Sorgfalt eines guten Familienvaters anzuwenden.	Aufbewahrung	Beaufsichtigung,Obhut
Der Verwahrungsvertrag ist ein Realvertrag, der erst durch die tatsächliche Übergabe der Sache zustande kommt.	Verwahrungsvertrag	Hinterlegung
Der Vorgesetzte, der gemäß vorhergehendem Artikel 64 für die Erteilung des Verweises oder der Geldstrafe zuständig ist und der wie immer von einem Verstoß gegen die Dienstordnung erfährt, muß die entsprechenden Mitteilungen durchführen und schriftlich Beschuldigung erheben .	Verweis	Zensur
Der Vorsitzende der Gemeindebaukommission kann ein Gutachten der Landesabteilung Natur, Landschaft und Raumentwicklung anfordern. Sofern es sich um einen Wiedergewinnungsplan handelt oder der Durchführungsplan unter Denkmalschutz stehende Liegenschaften betrifft, ist das Gutachten der Landesabteilung Denkmalpflege einzuholen.	Denkmalschutz	Erhaltung von Kulturgütern
Der Vorsitzende ist befugt, ausnahmsweise den Angeklagten während der Abhörung eines Zeugen oder eines Mitangeklagten aus dem Sitzungssaal abtreten zu lassen.	Abhörung	Anhörung
Der Vorstand hat dem Amtsgericht auf dessen Verlangen jederzeit eine von ihm vollzogene Bescheinigung über die Zahl der Vereinsmitglieder einzureichen.	Vereinsmitglied	Stiller,still Beteiligter,stiller Gesellschafter
Der Vorzug wird in dem vom vorhergehenden Absatz vorgesehenen Fall auch den Gläubigern, die nicht abgesondert haben, gegenüber den Vermächtnisnehmern, die abgesondert haben, gewährt.	Vorzug	Vorfahrt
Der Wert des Kaufgegenstandes bei Kaufverträgen mit Verpflichtung zur Rückübertragung zu einem bestimmten Termin muss in der Bilanz des Verkäufers ausgewiesen werden.	Termin	Grenzzeichen,Verfahrensfrist
Der Zulassungsbesitzer hat das Fahrzeug dem Ermächtigten zur wiederkehrenden Begutachtung vorzuführen und dafür zu sorgen, dass dieses gereinigt ist, sowie den Zulassungsschein vorzulegen.	wiederkehrende Begutachtung	Wiederaufnahme
Der Zuwachs wird durch Natur, durch Kunst, oder durch beide zugleich bewirkt.	Zuwachs	Aufnahme
Der Alters- und Hinterlassenenversicherung können beitreten:  im Ausland wohnhafte nicht erwerbstätige Ehegatten von erwerbstätigen Personen, die nach Absatz 1 Buchstabe c, Absatz 3 Buchstabe a oder auf Grund einer zwischenstaatlichen Vereinbarung versichert sind.	erwerbstätige Person	Arbeitnehmer
Der aus der elterlichen Gewalt entlassene Minderjährige kann mit Hilfe des Beistands Gelder unter der Bedingung einer geeigneten Anlage einfordern und sowohl als Kläger wie als Beklagter vor Gericht auftreten.	Beistand	Masseverwalter
Der einem Gesellschafter zukommende Gewinn wird dem Kapitalanteile des Gesellschafters zugeschrieben .	Kapitalanteil	Anteil
Der funktionelle Aspekt der juristischen Person des öffentlichen Rechts liegt in der Wahrnehmung von Verwaltungsaufgaben.	Verwaltungsaufgabe	Verwaltung,Verwaltungstätigkeit
Der für das Verfahren Verantwortliche  sorgt nach den Weisungen des vorgesetzten Organs für die Durchführung der endgültigen Maßnahme.	endgültige Maßnahme	Entscheidung
Der inhaftierte oder in eine Anstalt zum Vollzug von Sicherungsmaßregeln eingewiesene Angeklagte kann Rechtsmittel, Erklärungen und Anträge beim Leiter der Anstalt einreichen.	Sicherungsmaßregel	Sicherheitsmaßnahme
Der mit den Einzahlungen säumige Gesellschafter kann das Stimmrecht nicht ausüben.	Stimmrecht	Wahlrecht
Der mit der Eheschließung indizierten gegenseitigen Zuneigung entspricht  ferner die Pflicht zur ehelichen Treue.	Pflicht zur ehelichen Treue	Treuepflicht
Der neue Vertrag der sanitären Leitung des Landesgesundheitsdienstes wird auf das Personal der beiden Vertragsbereiche des ärztlichen und tierärztlichen Personals, der sanitären Leitung (Biologen, Chemiker, Physiker, Psychologen und Apotheker) und der Leiter der sanitären Berufe  angewandt.	Leiter	Führungskraft,leitender Angestellter
Der normale Fall der Treuhandschaft liege nämlich vor, wenn jemand eine bislang zu seinem Vermögen gehörende Sache einem anderen mit der Bestimmung übergebe, diese Sache in Hinkunft für den Übergeber zu besitzen.	Treuhandschaft	Vertrauen
Der rechtfertigende Grund für diese Rechtsinstitute Organleihe und Auftrag liegt in der Effektivität und der Ökonomie der Verwaltung.	Effektivität	Rechtswirksamkeit,Wirksamkeit
Der rechtlich erhebliche Zeitpunkt heißt Termin, der rechtlich erhebliche Zeitraum heißt Frist.	Termin	Grenzzeichen,Verfahrensfrist,prozessuale Frist
Der technische Zugang zu den einzelnen IT-Systemen wird durch Benutzerkennung und Passwort oder Smartcard und Passwort realisiert.	Benutzerkennung	Identifikationsnummer,Identifizierungsnummer,Kennnummer,Kennziffer
Der zürcherischen Universität bleibt das Benützungsrecht der geologischen und mineralogischen Sammlungen und Institute des Polytechnikums so lange gewährleistet, als gemeinsame Hauptprofessoren in den Fächern der Geologie und Mineralogie bestehen.	Benützungsrecht	Gewohnheitsrecht
Die Abfallbehälter dürfen nur zum Sammeln von Abfällen benutzt werden. Der Benutzer ist zur pfleglichen Behandlung und zum Sauberhalten des Abfallbehälters sowie des  Abfallbehälterschranks verpflichtet und hat diese vor Verlust oder Beschädigung durch Dritte zu schützen.	Benutzer	Nutzer
Die Abfallwirtschaftspläne stellen Folgendes dar:  die Ziele der Abfallvermeidung, der Abfallverwertung, insbesondere der Vorbereitung zur Wiederverwendung und des Recyclings, sowie der Abfallbeseitigung .	Abfallverwertung	Rehabilitation,Suchtrehabilitation
Die Ablagerung von Materialien an der Oberkante der Baugrube ist untersagt.	Baugrube	Aushub,Aushubarbeit
Die Abmachung, mit der sich der Bezugsberechtigte verpflichtet, dem Lieferanten den Vorrang beim Abschluss eines nachfolgenden Vertrags über den gleichen Gegenstand einzuräumen, ist gültig, sofern die Dauer der Verpflichtung den Zeitraum von fünf Jahren nicht übersteigt.	Vorrang	Vorfahrt
Die Abteilung Wasserrecht (MA 58) ist Anlaufstelle für die Erteilung von Genehmigungen in den großen Rechtsbereichen Wasser- und Schifffahrtswesen, aber auch für jene in den Bereichen Jagd, Fischerei, Pflanzenschutz, Tierhalterecht, Tierversuchsrecht, Forstrecht oder Landwirtschaft.	Abteilung	Aufteilung
Die Aktien dürfen nur zum Nennwert oder zu einem diesen übersteigenden Beträge ausgegeben werden.	Aktie	Handeln,Handlung,Klage,Tat,Tun,Verhalten
Die Aktien können auf den Inhaber oder auf Namen lauten.	Aktie	Handeln,Handlung,Klage,Tun
Die Aktionäre üben ihre Rechte in den Angelegenheiten der Gesellschaft in der Hauptversammlung aus .	Hauptversammlung	Mitgliederversammlung,Vereinsversammlung
Die Akzeptanz für das Tragen von Gehörschutzmitteln steigt, wenn jeder Mitarbeiter seinen Gehörschutz aus verschiedenen Typen auswählen kann	Gehörschutz	Schutz des Gehörs
Die Anbieterinnen von Diensten der Grundversorgung sind für die Erhebung der Verzeichnisdaten bei ihren Kundinnen und Kunden verantwortlich und allein berechtigt, diese Daten auf deren Verlangen zu ändern.	Kunde	Partei,Versicherungsnehmer,Vertragspartei
Die Anerkennung ist unwiderrufbar. Ist sie in einem Testament enthalten, so wirkt sie ab dem Tag des Todes des Erblassers, auch wenn das Testament widerrufen wurde.	unwiderrufbar	unwiderruflich
Die Anerkennungsurkunde oder die Erneuerungsurkunde begründet vollen Beweis über die in der Urschrift enthaltenen Erklärungen, sofern nicht durch Vorlage der letzteren bewiesen wird, daß bei der Anerkennung oder Erneuerung ein Irrtum vorlag.	Anerkennungsurkunde	Identifizierung
Die Anfechtung muss  ohne schuldhaftes Zögern (unverzüglich) erfolgen, nachdem der Anfechtungsberechtigte von dem Anfechtungsgrunde Kenntnis erlangt hat.	Anfechtung	Kraftloserklärung von Aktien,Rücknahme mit Rückwirkung
Die Anführer oder die Hintermänner des bewaffneten Haufens unterliegen derselben Strafe wie die Urheber.	Anführer	Abschnitt
Die Anhängigkeit des Rechtsstreits vor dem ausländischen Gericht bestimmt sich nach den Gesetzen des Staates, in dem das Verfahren abgewickelt wird.	Anhängigkeit des Rechtsstreites	Streitanhängigkeit
Die Anhörung der Beteiligten ist ein wesentlicher Teil der Parteienöffentlichkeit des Verfahrens und stellt das wichtigste Recht der Beteiligten im Verfahren dar.	Anhörung	rechtliches Gehör
Die Anordnung, wodurch der Erblasser seinem Erben eine unmögliche oder unerlaubte Handlung mit dem Beisatze aufträgt, daß er, wofern er den Auftrag nicht befolgte, einem Dritten ein Legat entrichten soll, ist ungültig.	unerlaubt	Unrecht,rechtswidriges Verhalten
Die Anschwemmung wächst auch dem Ufer einer im Fluß entstandenen Insel zu.	Anschwemmung	Überschwemmung
Die Ansuchen um die Erlaubnis zur Ausübung eines Gastgewerbes, um Einstufung des Betriebes und um andere in diesem Gesetz vorgesehene Bewilligungen sind an den jeweils zuständigen Bürgermeister zu richten.	Ansuchen	Anspruch
Die Anteile der Teilhaber der Gemeinschaft werden als gleich vermutet.	Teilhaber	Teilnehmer
Die Anteile, mit denen die Gesellschafter beteiligt sind, werden durch Aktien verkörpert.	Aktie	Handlung,Klage,Tat
Die Anwendung unmittelbarer Gewalt (gewaltsames Führen der Hand bei der Unterschrift) fällt nicht unter § 123 dBGB, da hier schon tatbestandlich keine Willenserklärung vorliegt.	unmittelbare Gewalt	physische Gewalt
Die Anwendung von Bestimmungen eines ausländischen Rechts, ist ausgeschlossen, wenn sie zu einem Ergebnis führen würde, das mit dem schweizerischen Ordre public unvereinbar ist.	ordre public	öffentliche Ordnung,öffentliche Sicherheit
Die Arbeitnehmer melden dem Arbeitgeber, der Führungskraft oder dem Vorgesetzten unverzüglich alle Mängel oder Funktionsstörungen, die sie an der ihnen zur Verfügung stehenden persönlichen Schutzausrüstung feststellen.	Vorgesetzter	Geschäftsführer
Die Arbeitnehmer werden in leitende Angestellte, höhere Angestellte, Angestellte und Arbeiter eingeteilt.	leitender Angestellter	Leiter,leitender Beamter
Die Arbeitsstoffe können in die großen Gruppen der Gefahrstoffe (Chemikalien) und der Biostoffe (Mikroorganismen) unterschieden werden.  Eine weitere Gruppe von Arbeitsstoffen, bei deren Anwendung besondere Schutzvorschriften beachtet werden müssen, sind die Sprengstoffe.	Arbeitsstoff	Handelsvertreter,Täter
Die Arbeitsunfähigkeitsrente erhält, wer auf Grund von körperlicher oder psychischer Krankheit nicht arbeitsfähig ist und mindestens 5 Versicherungsjahre nachweisen kann . Da die Rente nur bei totaler Arbeitsunfähigkeit zusteht, kann keine lohnabhängige oder selbständige Arbeit ausgeführt werden.	Arbeitsunfähigkeitsrente	Zivilinvalidenrente
Die Aufhebbarkeit geht  von der Behörde oder vom Verwaltungsgericht aus und besagt, dass sie einen rechtswidrigen Verwaltungsakt aufheben, d.h. seine Rechtswirksamkeit beseitigen können.	Aufhebbarkeit	Anfechtbarkeit,Vernichtbarkeit
Die Aufrechnung bewirkt, dass die Forderungen, soweit sie sich decken, als in dem Zeitpunkt erloschen gelten, in welchem sie zur Aufrechnung geeignet einander gegenübergetreten sind.	Zeitpunkt	Dauer,Zeit,Zeitraum
Die Aufsichtsratsmitglieder müssen unter den Personen ausgewählt werden, die im Register der Rechnungsprüfer, das beim Justizministerium eingerichtet ist, eingetragen sind.	Rechnungsprüfer	Bürgermeister,Überwachungsratsmitglied
Die Aufstellung von Wahlbewerbern für Wahlen zu Volksvertretungen muß in geheimer Abstimmung stattfinden.	Wahlbewerber	Bewerber
Die Augenschutzgeräte bestehen im Allgemeinen aus dem Tragkörper und den Sichtscheiben.	Augenschutzgerät	Schutz der Augen
Die Aus- und Fortbildung im Bereich Arbeitsschutz ist eine wesentliche Vorbeugemaßnahme zum Schutz der Arbeitnehmerinnen und Arbeitnehmer.	Vorbeugemaßnahme	Maßnahme zur Verhütung der Kriminalität,Vorsorgemaßnahme
Die Ausgabe und der Verkauf der Aktien vor der Eintragung der Gesellschaft ist nichtig.	Ausgabe	Emissionen,Schadstoffemissionen
Die Ausnahmebewilligung stellt  nicht nur formell, sondern auch materiell einen begünstigenden Verwaltungsakt dar.	Ausnahmebewilligung	Befreiung
Die Aussagen der Parteien, die mündlichen Entscheide der Behörden sowie alle anderen Verfahrenshandlungen, die nicht schriftlich durchgeführt werden, werden protokolliert.	Verfahrenshandlung	Aktenstück
Die Ausschließung vom Wahlrecht und von der Wählbarkeit kann nur die Folge einer gerichtlichen Verurteilung sein.	Wahlrecht	Wählerschaft
Die Beamtinnen und Beamten sind verpflichtet, an Maßnahmen der dienstlichen Fortbildung teilzunehmen, die der Erhaltung und Verbesserung der Befähigung für ihren Dienstposten oder für gleich bewertete Tätigkeiten dienen.	dienstliche Fortbildung	Aktualisierung
Die Bedeutung der ausnahmsweise erlaubten Zufahrt für Taxis im Unterschied zur (verbotenen) direkten Durchfahrt war vor Ort ohne besonderen Interpretationsbedarf erkennbar.	Zufahrt	Zugang,Zutrittsrecht
Die Behörde habe nicht erklärt, was sie unter der errichteten Betriebsanlage genau verstehe. Das wäre ebenso erforderlich gewesen wie eine genaue Definition, welcher Zustand aus Sicht der Behörde gesetzesmäßig sei.	gesetzesmäßig	rechtsgültig
Die Beisitzer des Wahlvorstandes sollen möglichst aus den Wahlberechtigten der Gemeinde, nach Möglichkeit aus den Wahlberechtigten des Wahlbezirks berufen werden.	Wahlvorstand	Wahllokal,Wahlraum
Die Beobachtung der für die Hauptverhandlung vorgeschriebenen Förmlichkeiten kann nur durch das Protokoll bewiesen werden. Gegen den diese Förmlichkeiten betreffenden Inhalt des Protokolls ist nur der Nachweis der Fälschung zulässig.	Fälschung	falsch
Die Berufung ist das Rechtsmittel gegen Urteil der 1. Instanz, die Revision gegen Urteil der 2. Instanz, und der Rekurs ist ein Rechtsmittel gegen Beschlüsse.	Rechtsmittel	Anfechtung,Rechtsmittelverfahren
Die Berufung wegen Nichtigkeit kann nur aus bestimmten Nichtigkeitsgründen ergriffen werden.	Nichtigkeit	absolute Nichtigkeit
Die Beschwerde ist innerhalb einer Ausschlussfrist von 45 Tagen ab dem Tag der Zustellung des angefochtenen Aktes oder der Mitteilung des Aktes im Verwaltungsweg oder ab dem Zeitpunkt, an dem der Betroffene volle Kenntnis des Aktes erlangt hat, einzubringen.	Betroffener	interessierte Person
Die Beschwerdeführerin beruft sich in erster Linie darauf, die Baubewilligung habe ihr ein subjektives Recht verschafft.	subjektives Recht	objektives Recht
Die Bestellung des Planungskoordinators hat zu Beginn der Planungsarbeiten zu erfolgen.	Planungskoordinator	Cloud-Anbieter,Cloud-Provider
Die Bestellung oder Abbestellung des Abfallbeauftragten und seines Stellvertreters ist der Behörde unverzüglich zu melden. Die Meldung über die Bestellung hat die Zustimmung des Abfallbeauftragten und seines Stellvertreters und Angaben über die fachliche Qualifikation des Abfallbeauftragten zu enthalten.	Zustimmung	Einwilligung,Konsens
Die Bestimmungen der Artikel 2206 und 2207 sind auch auf Bevollmächtigte anzuwenden, die aufgrund einer ständigen Rechtsbeziehung die Befugnis haben, für den Unternehmer die mit dem Betrieb des Unternehmens zusammenhängenden Rechtshandlungen vorzunehmen, auch wenn sie dieses nicht leiten.	Bevollmächtigter	Prozessbevollmächtigter
Die Bestimmungen der Exekutionsordnung über die Fahrnispfändung als auch jene der Geschäftsordnung für die Gerichte erster und zweiter Instanz  sind als Schutzgesetze anzusehen.	Geschäftsordnung	Rechtsverordnung,Verordnung
Die Bestimmungen über die Aussetzung oder den Entzug des Führerscheins  werden  auf die Bescheinigung über die Eignung zum Führen von Oberleitungsbussen angewandt, wenn sich der Sachverhalt beim Führen dieser Busse ergibt.	Bestimmung	Anordnung,Verfügung
Die Bestimmungen über die Wiedereinsetzung in die früheren Rechte werden auch bei einem auf Verurteilung lautenden ausländischen Urteil angewendet, das nach Artikel 12 anerkannt worden ist.	Wiedereinsetzung in die früheren Rechte	Rehabilitation
Die Betreibende beantragte die Bewilligung der Exekution zur Erwirkung vertretbarer Handlungen nach § 353 EO, welche mit Beschluss des Bezirksgerichts Innsbruck vom 28. September 2006, GZ 25 E 4484/06x-3, bewilligt wurde.	Exekution zur Erwirkung vertretbarer Handlungen	Exekution zur Erwirkung unvertretbarer Handlungen
Die Bezeichnungen der einzelnen Verwaltungseinheiten sollen Aufschluss über die jeweilige Sachzuständigkeit geben.	Sachzuständigkeit	sachliche Zuständigkeit
Die Brandausbreitung wird  durch folgende 3 Faktoren wesentlich beeinflusst: bauliche Mängel, betriebstechnische Mängel und feuerwehrtaktische Mängel.	Brandausbreitung	Brandverlauf
Die Buchführung bildet die Grundlage der Rechnungslegung. Sie erfasst diejenigen Geschäftsvorfälle und Sachverhalte, die für die Darstellung der Vermögens-, Finanzierungs- und Ertragslage des Unternehmens (wirtschaftliche Lage) notwendig sind.	Buchführung	Buchhaltung
Die Bundesagentur ist der für die Durchführung der Aufgaben nach diesem Buch Sozialgesetzbuch III zuständige Verwaltungsträger. Sie darf ihre Mittel nur für die gesetzlich vorgeschriebenen oder zugelassenen Zwecke verwenden.	Durchführung	Exekution,Vollstreckung
Die Bundesgesetze sind vom Bundeskanzler im Bundesgesetzblatt kundzumachen. Soweit nicht ausdrücklich anderes bestimmt ist, treten sie mit Ablauf des Tages ihrer Kundmachung in Kraft und gelten für das gesamte Bundesgebiet.	Kundmachung	Veröffentlichung
Die Bundesregierung regelt durch Rechtsverordnung das Erstattungsverfahren sowie das Nähere hinsichtlich der betrieblichen oder überbetrieblichen Alters- und Hinterbliebenenversorgung; in ihr kann bestimmt werden, welche Einrichtungen als betriebliche oder überbetriebliche Alters und Hinterbliebenenversorgung im Sinne des Gesetzes anzusehen sind.	Rechtsverordnung	Geschäftsordnung
Die Datenschutzbehörde hat die Genehmigung an die Erfüllung von Bedingungen und Auflagen zu knüpfen, soweit dies zur Wahrung der schutzwürdigen Interessen der betroffenen Person notwendig ist.	Wahrung	Vormundschaft
Die Datenschutzbehörde teilt die Entscheidung über den Antrag auf Genehmigung innerhalb von 45 Tagen mit; .	Entscheidung	abschließende Maßnahme,endgültige Maßnahme
Die Dauer der Freiheitsstrafe beträgt in der Regel mindestens sechs Monate; die Höchstdauer beträgt 20 Jahre. Wo es das Gesetz ausdrücklich bestimmt, dauert die Freiheitsstrafe lebenslänglich.	Freiheitsstrafe	Anhalten,Anhaltung,Festnahme,Verhaftung
Die Dekrete laut Artikel 20-bis des Gesetzesdekretes vom 18. Oktober 2012, Nr. 179  regeln im Einzelnen, wie die Register im Rahmen der elektronischen Datenverarbeitung zu führen sind .	Gesetzesdekret	Bauleiter
Die Delegierung von Verwaltungsaufgaben bringt für den Beauftragten die Verantwortung dafür mit sich, daß die Verwaltungsmaßnahme fachlich, buchhalterisch oder in Hinblick auf die Rechtmäßigkeit regulär ist.	Rechtmäßigkeit	Ehelichkeit,eheliche Abstammung
Die Dienststellen haben eine territoriale Zuständigkeit, das bedeutet, dass Unternehmer/innen sich an die Dienstelle der Handelskammer der Provinz wenden können, in der der Betrieb seinen Rechtsitz hat.	territoriale Zuständigkeit	örtliche Zuständigkeit
Die Ehe wird auf Lebenszeit geschlossen. Die Ehegatten sind einander zur ehelichen Lebensgemeinschaft verpflichtet; sie tragen füreinander Verantwortung.	eheliche Lebensgemeinschaft	Zusammenleben
Die Eheschliessung ist zwischen Verwandten in gerader Linie sowie zwischen Geschwistern oder Halbgeschwistern, gleichgültig ob sie miteinander durch Abstammung oder durch Adoption verwandt sind, verboten.	Eheschliessung	Ehe
Die Einrichtung durch Gesetz, der eigene und übertragene Wirkungsbereich die Weisungsfreiheit im eigenen Wirkungsbereich, die Staatsaufsicht, die demokratische Bestellung der Organe, die Privatrechtsfähigkeit und die Satzungsautonomie stellen die organisationsrechtlichen und funktionalen Grundlagen und Schranken der nichtterritorialen Selbstverwaltung dar.	nichtterritoriale Selbstverwaltung	nichtterritorialer Selbstverwaltungskörper
Die Eintragung in die zusätzliche Wählerliste gilt von dem Tag an, an dem der Staatsbürger nach den geltenden Gesetzen in das Personenstandsregister der ansässigen Bevölkerung der Zuwanderungsgemeinde im Gebiet der  Region Trentino-Südtirol eingetragen wird.	Wählerliste	Kandidatenliste,Wahlwerberliste
Die Einweisung in eine Trinkerheilanstalt schränkt die durch das ungeschriebene Verfassungsrecht des Bundes gewährleistete persönliche Freiheit des Betroffenen erheblich ein.	Einweisung	Zuweisung
Die Einwilligung ist frei, wenn sie ohne Irrtum, List oder Zwang zustande gekommen ist.	Zwang	Gewalt
Die Einzelgläubiger eines der Ehegatten können sich, auch wenn die Forderung vor der Eheschließung entstanden ist, subsidiär aus den Sachen der Gütergemeinschaft bis zu dem Wert, der dem Anteil des verpflichteten Ehegatten entspricht, befriedigen.	Einzelgläubiger	Privatgläubiger
Die Entscheidung darüber, ob eine innerhalb der Frist erfolgte Bewerbung der Auslobung entspricht oder welche von mehreren Bewerbungen den Vorzug verdient, ist durch die in der Auslobung bezeichnete Person, in Ermangelung einer solchen durch den Auslobenden zu treffen.	Vorzug	Vorfahrt
Die Entschädigung wird vom Richter unter Würdigung aller Umstände festgesetzt, darf aber den Betrag nicht übersteigen, der dem Lohn des Arbeitnehmers für sechs Monate entspricht. Schadenersatzansprüche aus einem anderen Rechtstitel sind vorbehalten.	Rechtstitel	Titel
Die Erklärung der Brautleute, den anderen zum Ehemann beziehungsweise zur Ehefrau zu nehmen, kann weder an eine Befristung noch an eine Bedingung geknüpft werden.	Befristung	Grenzzeichen,Verfahrensfrist
Die Erklärung, nur Verträge mit den Personen zu vermitteln, welche die einzelnen Reiseleistungen ausführen sollen (Leistungsträger), bleibt unberücksichtigt, wenn nach den sonstigen Umständen der Anschein begründet wird, dass der Erklärende vertraglich vorgesehene Reiseleistungen in eigener Verantwortung erbringt.	Verantwortung	Verantwortlichkeit,strafrechtliche Verantwortlichkeit
Die Ernennung der Friedensrichter und ihrer Stellvertreter, die Erklärung des Amtsverlustes, die Entlassung und die Amtsenthebung erfolgen durch den Präsidenten der Region auf Grund einer Delegierung durch den Präsidenten der Republik unter Beachtung der übrigen einschlägigen Bestimmungen der Gerichtsordnung.	Delegierung	Anweisung,Zahlungsanweisung,Zahlungsaufforderung,Zahlungsauftrag
Die Ernennungsurkunde ist zur Kenntnisnahme an den in Artikel 3 genannten Schriftführer zu senden.	Ernennungsurkunde	Ernennung,Ernennungsakt
Die Ersatzerben haben die den eingesetzten Erben auferlegten Pflichten zu erfüllen, es sei denn, daß der Erblasser einen anderen Willen zum Ausdruck gebracht hat oder daß es sich um Verpflichtungen persönlicher Art  handelt.	Ersatzerbe	Nacherbe
Die Ersatzerklärung laut Absatz 1 kann folgende Gegebenheiten persönlicher Natur betreffen:Unbescholtenenstand oder Fehlen von Verurteilungen wegen bestimmter Vergehen; Fehlen von Verfahren zur Verhängung von Maßnahmen zur Verhütung der Kriminalität, unbeschadet der besonderen Bestimmungen über die Mafiaverbrechensbekämpfung .	Maßnahme zur Verhütung der Kriminalität	Präventionsmaßnahme,Vorbeugemaßnahme,Vorsorgemaßnahme
Die Ersitzung wird durch Vornahme oder Beantragung einer gerichtlichen oder behördlichen Vollstreckungshandlung unterbrochen.	Vollstreckungshandlung	Ausführungshandlung
Die Exekution auf Geldforderungen des Verpflichteten erfolgt durch Pfändung und Überweisung.	Exekution auf Geldforderungen	Anspruchsexekution,Exekution auf Ansprüche auf Herausgabe und Leistung körperlicher Sachen
Die Fahrschulbewilligung  darf nur erteilt werden, wenn a) die für die theoretische und praktische Ausbildung von Fahrschülern erforderlichen Räume und die Mittel für Lehrpersonen, Lehrbehelfe und Schulfahrzeuge sichergestellt sind, .	Fahrschulbewilligung	Ermächtigung,Genehmigung,behördliche Erlaubnis
Die Feststellung der Sprachkenntnisse nach Abs. 3 erfolgt vor der Ernennung, der Versetzung oder der Auftragserteilung. Das diesbezügliche Verfahren wird in einer entsprechenden Verordnung festgelegt.	Verordnung	Anordnung
Die Finanzbehörden können Ausnahmen von der Mitteilungspflicht zulassen, wenn die Zahlungen geringe oder keine steuerliche Bedeutung haben.	Mitteilungspflicht	Informationspflicht
Die Finanzierungen zu Lasten des ordentlichen Fonds, des Fonds für Investitionen und des Ausgleichsfonds werden in vier gleichen Raten zugewiesen.	Fonds	Grundstück
Die Forderungen bezüglich der Abfertigung sowie der Entschädigung gemäß Artikel 2118 werden im Falle der fruchtlosen Vollstreckung auf die beweglichen Sachen hilfsweise mit Vorrang gegenüber den nicht bevorrechtigten Forderungen im Erlös aus den Liegenschaften untergebracht.	Vollstreckung	Ausführung,Durchführung
Die Form der Gegenüberstellung zum Zweck der Identifizierung und ihren Zeitpunkt bestimmt der Richter, zB die Kleidung  oder eine Veränderung der Haar- oder Barttracht .	Identifizierung	Anerkennung
